FINAL_BOARD,RESULT,X_LONGEST_PATH,O_LONGEST_PATH,X_LONGEST_N1,X_LONGEST_N2,X_LONGEST_N3,X_LONGEST_N4,O_LONGEST_N1,O_LONGEST_N2,O_LONGEST_N3,O_LONGEST_N4
388732483913137,1.0,9,8,1,6,3,0,3,3,3,0
213914898291697,1.0,14,7,3,10,5,0,1,3,3,0
135013738230299,1.0,11,10,2,8,2,0,1,6,3,0
92308733481406,1.0,11,5,2,7,2,0,2,2,2,0
266532704068402,1.0,12,11,4,5,6,0,4,7,2,1
562050486036744,1.0,13,12,2,8,4,0,4,8,4,0
324209492646658,1.0,15,12,4,7,4,2,4,8,2,0
45436010065266,1.0,11,9,2,8,2,0,2,7,0,0
512944252433642,1.0,12,10,5,8,1,1,2,4,4,0
255462325283363,1.0,7,4,3,4,1,0,2,2,0,0
109888640624997,1.0,16,9,4,9,4,2,1,5,1,2
138206640345876,1.0,14,9,3,10,3,0,4,5,2,0
326370903517046,1.0,10,5,4,5,4,0,2,3,0,0
478015597974901,1.0,8,7,5,4,3,0,2,3,2,0
21058043179448,1.0,18,8,3,17,5,0,2,4,2,0
522996922609669,1.0,14,11,2,9,4,0,4,5,4,1
101384110320341,0.0,11,13,4,8,4,1,4,11,2,2
464871677799956,0.5,10,10,3,5,3,0,1,8,1,0
226637672509045,1.0,15,13,3,10,5,0,3,6,3,3
386968363434497,1.0,18,15,4,9,8,1,2,8,4,1
374679983633229,0.0,7,9,4,5,2,0,4,5,2,0
444892872203757,1.0,9,8,3,4,3,0,0,5,2,1
430992148424852,1.0,17,13,4,13,4,0,4,5,6,0
270207462952301,1.0,11,7,3,4,5,0,2,3,2,0
391090021771308,1.0,12,8,6,7,4,0,3,3,3,0
375040960024538,1.0,10,8,4,8,2,2,4,3,2,2
160014731263723,0.0,12,13,3,5,3,2,8,7,6,0
219395684736492,0.0,13,15,4,11,2,0,3,5,7,1
527603837044304,1.0,14,9,3,8,3,1,3,3,5,0
233793319716171,1.0,10,7,6,5,4,1,0,6,0,1
271362569286969,0.0,9,13,3,2,5,0,4,5,6,1
306363703797092,1.0,12,5,3,8,3,0,2,3,0,0
308080881217219,0.0,8,9,4,6,2,0,2,4,2,1
378385911537037,1.0,16,7,4,10,4,0,3,4,1,0
47812310081355,1.0,14,10,7,10,1,2,4,7,2,0
66243647138217,0.5,11,11,1,7,3,0,2,5,4,1
405019225906418,1.0,14,10,4,8,6,1,2,4,4,0
320261676554340,1.0,10,8,3,6,3,0,2,6,0,1
188717160740669,0.0,9,11,2,6,2,0,5,6,3,0
245701273043652,0.0,8,11,2,5,2,0,3,4,5,1
319681427838725,1.0,16,9,6,10,4,1,3,5,3,0
150852938412756,1.0,16,7,6,7,6,2,2,3,2,0
330380251377340,1.0,17,12,4,8,6,2,2,8,2,0
467237968905971,0.0,7,11,4,3,2,0,2,8,2,0
102794303480332,1.0,17,11,3,9,5,2,2,4,4,2
519912864482280,1.0,11,5,4,6,4,0,4,2,0,1
292798547872454,0.0,11,12,7,2,9,0,2,6,4,1
277179628595786,1.0,13,8,5,8,3,0,2,4,2,0
145976259859881,1.0,14,10,1,8,1,4,4,4,4,0
133876239848998,1.0,13,10,2,8,4,0,4,8,2,0
242817317929232,1.0,17,13,4,7,6,2,2,9,4,0
106096553029679,1.0,13,10,5,8,5,0,4,7,2,0
512282345510182,1.0,14,8,5,6,7,1,4,4,2,1
334619150244173,1.0,11,5,5,7,3,1,2,3,0,0
361056291049048,1.0,16,7,1,8,5,2,2,3,2,1
399276324463269,1.0,12,8,3,8,3,0,2,4,2,0
314092590899705,1.0,12,11,2,10,0,0,3,8,1,0
190749158934666,1.0,19,8,3,9,7,1,2,4,2,1
186136696272636,1.0,13,9,3,7,5,0,3,6,1,0
480010093240027,1.0,13,12,3,6,5,0,3,5,5,1
350616554350227,0.0,7,8,3,2,3,0,1,6,1,0
131749888949272,0.0,8,9,2,6,0,1,2,4,2,2
537670748040502,0.0,7,14,3,2,3,0,4,5,6,1
542044755790498,1.0,12,7,5,11,3,2,3,2,3,0
203938558718606,0.5,8,8,2,5,2,0,2,4,2,0
67225431109167,0.0,7,14,2,5,0,1,5,7,5,0
229858561444461,1.0,11,10,4,6,4,0,3,3,5,1
311115538905219,1.0,17,12,2,11,4,1,3,7,3,2
461344012544141,1.0,12,10,2,8,2,2,0,8,2,0
151894393297893,1.0,10,7,2,7,2,0,2,4,2,0
525848001617104,1.0,11,8,5,4,3,3,2,3,4,0
348931358482709,1.0,13,9,1,8,3,1,3,6,1,1
226887110878093,0.5,10,10,5,1,7,0,3,5,3,0
366768687010337,0.0,8,9,4,4,2,0,2,5,2,0
154511548282233,1.0,15,11,2,10,4,0,1,4,5,1
91029984171535,1.0,11,6,5,10,5,0,1,4,1,0
323432231749619,0.5,8,8,4,4,2,0,3,5,1,0
362140455486318,1.0,6,5,2,2,2,0,4,1,2,0
459550724721226,1.0,11,7,5,5,5,0,3,4,1,1
494358240323080,0.0,14,15,4,5,8,1,2,9,4,0
364300187433018,1.0,9,7,3,6,1,0,4,3,2,0
370684599341940,1.0,11,6,5,7,3,1,3,3,1,0
175860449616483,1.0,15,13,5,6,9,0,1,6,5,2
